assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_029774195.1	PRJNA224116	SAMN30697790	na	na	470	470	Acinetobacter baumannii	strain=ZHOU	na	latest	Complete Genome	Major	Full	2023-04-17	ASM2977419v1	Zhejiang University School of Medicine	GCA_029774195.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/774/195/GCF_029774195.1_ASM2977419v1/	na	na	na	haploid	bacteria	4236288	4236288	39.000000	3	3	3	NCBI RefSeq	GCF_029774195.1-RS_2025_04_24	2025-04-24	4069	3895	98	36830307
GCF_029774235.1	PRJNA224116	SAMN16560994	na	na	470	470	Acinetobacter baumannii	strain=X4-300	na	latest	Complete Genome	Major	Full	2023-04-17	ASM2977423v1	China Medical University, Taichung, Taiwan	GCA_029774235.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/774/235/GCF_029774235.1_ASM2977423v1/	na	na	na	haploid	bacteria	4094348	4094348	39.500000	3	3	3	NCBI RefSeq	GCF_029774235.1-RS_2026_04_24	2026-04-24	3958	3774	96	34680819
GCF_029774275.1	PRJNA224116	SAMN16560993	na	na	470	470	Acinetobacter baumannii	strain=X4-136	na	latest	Complete Genome	Major	Full	2023-04-17	ASM2977427v1	China Medical University, Taichung, Taiwan	GCA_029774275.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/774/275/GCF_029774275.1_ASM2977427v1/	na	na	na	haploid	bacteria	4094025	4094025	39.500000	3	3	3	NCBI RefSeq	GCF_029774275.1-RS_2025_04_20	2025-04-20	3957	3765	96	34680819
GCF_029774295.1	PRJNA224116	SAMN16560992	na	na	470	470	Acinetobacter baumannii	strain=X4-107	na	latest	Complete Genome	Major	Full	2023-04-17	ASM2977429v1	China Medical University, Taichung, Taiwan	GCA_029774295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/774/295/GCF_029774295.1_ASM2977429v1/	na	na	na	haploid	bacteria	4093159	4093159	39.500000	3	3	3	NCBI RefSeq	GCF_029774295.1-RS_2025_04_20	2025-04-20	3960	3773	96	34680819
GCF_029774315.1	PRJNA224116	SAMN19690115	na	na	470	470	Acinetobacter baumannii	strain=X4-201	na	latest	Complete Genome	Major	Full	2023-04-17	ASM2977431v1	China Medical University, Taichung, Taiwan	GCA_029774315.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/774/315/GCF_029774315.1_ASM2977431v1/	na	na	na	haploid	bacteria	4093129	4093129	39.500000	3	3	3	NCBI RefSeq	GCF_029774315.1-RS_2025_04_20	2025-04-20	3963	3770	96	34680819
GCF_029774335.1	PRJNA224116	SAMN19690116	na	na	470	470	Acinetobacter baumannii	strain=X4-584	na	latest	Complete Genome	Major	Full	2023-04-17	ASM2977433v1	China Medical University, Taichung, Taiwan	GCA_029774335.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/774/335/GCF_029774335.1_ASM2977433v1/	na	na	na	haploid	bacteria	4093105	4093105	39.500000	3	3	3	NCBI RefSeq	GCF_029774335.1-RS_2026_04_20	2026-04-20	3950	3778	96	34680819
GCF_029774355.1	PRJNA224116	SAMN19690117	na	na	470	470	Acinetobacter baumannii	strain=X4-705	na	latest	Complete Genome	Major	Full	2023-04-17	ASM2977435v1	China Medical University, Taichung, Taiwan	GCA_029774355.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/774/355/GCF_029774355.1_ASM2977435v1/	na	na	na	haploid	bacteria	4093107	4093107	39.500000	3	3	3	NCBI RefSeq	GCF_029774355.1-RS_2026_04_20	2026-04-20	3954	3781	96	34680819
GCF_029814975.1	PRJNA224116	SAMN16560991	na	na	470	470	Acinetobacter baumannii	strain=X4-65	na	latest	Complete Genome	Major	Full	2023-04-18	ASM2981497v1	China Medical University, Taichung, Taiwan	GCA_029814975.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/814/975/GCF_029814975.1_ASM2981497v1/	na	na	na	haploid	bacteria	4094380	4094380	39.500000	3	3	3	NCBI RefSeq	GCF_029814975.1-RS_2025_04_20	2025-04-20	3962	3770	96	34680819
GCF_029847455.2	PRJNA224116	SAMN34163920	na	na	470	470	Acinetobacter baumannii	strain=PUMA0052	na	latest	Complete Genome	Major	Full	2024-05-18	ASM2984745v2	Nanyang Technological University	GCA_029847455.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/847/455/GCF_029847455.2_ASM2984745v2/	na	na	na	haploid	bacteria	4006916	4006916	39.000000	2	2	2	NCBI RefSeq	GCF_029847455.2-RS_2025_05_17	2025-05-17	3801	3629	95	na
GCF_029909475.1	PRJNA224116	SAMN34271990	na	na	470	470	Acinetobacter baumannii	strain=WB4	na	latest	Complete Genome	Major	Full	2023-05-01	ASM2990947v1	Western College of Veterinary Medicine	GCA_029909475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/909/475/GCF_029909475.1_ASM2990947v1/	na	na	na	haploid	bacteria	3881790	3881790	39.000000	6	6	6	NCBI RefSeq	GCF_029909475.1-RS_2026_03_22	2026-03-22	3673	3532	95	37855607
GCF_029931545.1	PRJNA224116	SAMN34247094	na	na	470	470	Acinetobacter baumannii	strain=Ab4294	na	latest	Complete Genome	Major	Full	2023-05-03	ASM2993154v1	Beijing Institute of Microbiology and Epidemiology	GCA_029931545.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/931/545/GCF_029931545.1_ASM2993154v1/	na	na	na	haploid	bacteria	3928238	3928238	39.000000	2	2	2	NCBI RefSeq	GCF_029931545.1-RS_2025_05_03	2025-05-03	3726	3512	97	na
GCF_030027985.1	PRJNA224116	SAMN34376193	na	na	470	470	Acinetobacter baumannii	strain=EGA65	na	latest	Complete Genome	Major	Full	2023-05-17	ASM3002798v1	Northeastern University	GCA_030027985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/027/985/GCF_030027985.1_ASM3002798v1/	na	na	na	haploid	bacteria	3923555	3923555	39.000000	2	2	2	NCBI RefSeq	GCF_030027985.1-RS_2025_05_17	2025-05-17	3769	3591	94	na
GCF_030028005.1	PRJNA224116	SAMN34376192	na	na	470	470	Acinetobacter baumannii	strain=EGA10	na	latest	Complete Genome	Major	Full	2023-05-17	ASM3002800v1	Northeastern University	GCA_030028005.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/028/005/GCF_030028005.1_ASM3002800v1/	na	na	na	haploid	bacteria	3907073	3907073	39.000000	2	2	2	NCBI RefSeq	GCF_030028005.1-RS_2025_05_17	2025-05-17	3756	3572	94	na
GCF_030168245.1	PRJNA224116	SAMN27957725	na	na	470	470	Acinetobacter baumannii	strain=Mu1984	na	latest	Complete Genome	Major	Full	2023-06-05	ASM3016824v1	Emory University School of Medicine	GCA_030168245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/168/245/GCF_030168245.1_ASM3016824v1/	na	na	na	haploid	bacteria	4012149	4012149	39.000000	3	3	3	NCBI RefSeq	GCF_030168245.1-RS_2025_06_05	2025-06-05	3888	3693	95	na
GCF_030168265.1	PRJNA224116	SAMN27918892	na	na	470	470	Acinetobacter baumannii	strain=51248	na	latest	Complete Genome	Major	Full	2023-06-05	ASM3016826v1	USDA-ARS-USMARC	GCA_030168265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/168/265/GCF_030168265.1_ASM3016826v1/	na	na	na	haploid	bacteria	3763904	3763904	39.000000	1	1	1	NCBI RefSeq	GCF_030168265.1-RS_2025_06_05	2025-06-05	3529	3403	96	na
GCF_030168285.1	PRJNA224116	SAMN27988045	na	na	470	470	Acinetobacter baumannii	strain=Mu1956	na	latest	Complete Genome	Major	Full	2023-06-05	ASM3016828v1	Emory University School of Medicine	GCA_030168285.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/168/285/GCF_030168285.1_ASM3016828v1/	na	na	na	haploid	bacteria	4308180	4308180	39.000000	8	8	8	NCBI RefSeq	GCF_030168285.1-RS_2025_06_05	2025-06-05	4210	4020	96	na
GCF_030413705.1	PRJNA224116	SAMN36085765	na	na	470	470	Acinetobacter baumannii	strain=13A297n	na	latest	Complete Genome	Major	Full	2023-07-10	ASM3041370v1	University Hospital of Besancon	GCA_030413705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/413/705/GCF_030413705.1_ASM3041370v1/	na	na	na	haploid	bacteria	4229816	4229816	39.000000	5	5	5	NCBI RefSeq	GCF_030413705.1-RS_2025_07_11	2025-07-11	4032	3772	96	na
GCF_030585225.1	PRJNA224116	SAMN12287008	na	na	470	470	Acinetobacter baumannii	strain=18WIARLN0035	na	latest	Complete Genome	Major	Full	2023-08-02	ASM3058522v1	Wisconsin State Laboratory of Hygiene	GCA_030585225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/585/225/GCF_030585225.1_ASM3058522v1/	na	na	na	haploid	bacteria	4073650	4073650	39.000000	3	3	3	NCBI RefSeq	GCF_030585225.1-RS_2025_08_10	2025-08-10	3933	3749	96	na
GCF_030585245.1	PRJNA224116	SAMN12287006	na	na	470	470	Acinetobacter baumannii	strain=18WIARLN0025	na	latest	Complete Genome	Major	Full	2023-08-02	ASM3058524v1	Wisconsin State Laboratory of Hygiene	GCA_030585245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/585/245/GCF_030585245.1_ASM3058524v1/	na	na	na	haploid	bacteria	4065371	4065371	39.000000	3	3	3	NCBI RefSeq	GCF_030585245.1-RS_2025_08_10	2025-08-10	3942	3736	94	na
GCF_030585265.1	PRJNA224116	SAMN12287004	na	na	470	470	Acinetobacter baumannii	strain=18WIARLN0024	na	latest	Complete Genome	Major	Full	2023-08-02	ASM3058526v1	Wisconsin State Laboratory of Hygiene	GCA_030585265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/585/265/GCF_030585265.1_ASM3058526v1/	na	na	na	haploid	bacteria	4003112	4003112	39.000000	4	4	4	NCBI RefSeq	GCF_030585265.1-RS_2025_08_10	2025-08-10	3854	3657	95	na
GCF_030585285.1	PRJNA224116	SAMN12287002	na	na	470	470	Acinetobacter baumannii	strain=18WIARLN0023	na	latest	Complete Genome	Major	Full	2023-08-02	ASM3058528v1	Wisconsin State Laboratory of Hygiene	GCA_030585285.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/585/285/GCF_030585285.1_ASM3058528v1/	na	na	na	haploid	bacteria	4094766	4094766	39.000000	3	3	3	NCBI RefSeq	GCF_030585285.1-RS_2025_08_09	2025-08-09	3954	3771	101	na
GCF_030585325.1	PRJNA224116	SAMN12286998	na	na	470	470	Acinetobacter baumannii	strain=18WIARLN0021	na	latest	Complete Genome	Major	Full	2023-08-02	ASM3058532v1	Wisconsin State Laboratory of Hygiene	GCA_030585325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/585/325/GCF_030585325.1_ASM3058532v1/	na	na	na	haploid	bacteria	4062813	4062813	39.000000	4	4	4	NCBI RefSeq	GCF_030585325.1-RS_2025_08_10	2025-08-10	3920	3744	96	na
GCF_030585345.1	PRJNA224116	SAMN13480523	na	na	470	470	Acinetobacter baumannii	strain=19WIARLN023_full	na	latest	Complete Genome	Major	Full	2023-08-02	ASM3058534v1	Wisconsin State Laboratory of Hygiene	GCA_030585345.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/585/345/GCF_030585345.1_ASM3058534v1/	na	na	na	haploid	bacteria	4012411	4012411	39.000000	3	3	3	NCBI RefSeq	GCF_030585345.1-RS_2025_08_10	2025-08-10	3858	3674	86	na
GCF_030585365.1	PRJNA224116	SAMN13480522	na	na	470	470	Acinetobacter baumannii	strain=19WIARLN022_full	na	latest	Complete Genome	Major	Full	2023-08-02	ASM3058536v1	Wisconsin State Laboratory of Hygiene	GCA_030585365.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/585/365/GCF_030585365.1_ASM3058536v1/	na	na	na	haploid	bacteria	4059678	4059678	39.000000	3	3	3	NCBI RefSeq	GCF_030585365.1-RS_2025_08_09	2025-08-09	3907	3727	91	na
GCF_030585385.1	PRJNA224116	SAMN13480520	na	na	470	470	Acinetobacter baumannii	strain=19WIARLN011_full	na	latest	Complete Genome	Major	Full	2023-08-02	ASM3058538v1	Wisconsin State Laboratory of Hygiene	GCA_030585385.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/585/385/GCF_030585385.1_ASM3058538v1/	na	na	na	haploid	bacteria	4022787	4022787	39.000000	3	3	3	NCBI RefSeq	GCF_030585385.1-RS_2025_08_10	2025-08-10	3872	3677	95	na
GCF_030585405.1	PRJNA224116	SAMN13480521	na	na	470	470	Acinetobacter baumannii	strain=19WIARLN021_full	na	latest	Complete Genome	Major	Full	2023-08-02	ASM3058540v1	Wisconsin State Laboratory of Hygiene	GCA_030585405.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/585/405/GCF_030585405.1_ASM3058540v1/	na	na	na	haploid	bacteria	3986828	3986828	39.000000	2	2	2	NCBI RefSeq	GCF_030585405.1-RS_2025_08_09	2025-08-09	3843	3659	94	na
GCF_030704325.1	PRJNA224116	SAMN36514286	na	na	470	470	Acinetobacter baumannii	strain=2023CK-00890	na	latest	Complete Genome	Major	Full	2023-08-09	ASM3070432v1	Utah Public Health Laboratory Infectious Disease submission group	GCA_030704325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/704/325/GCF_030704325.1_ASM3070432v1/	na	na	na	haploid	bacteria	3935353	3935353	39.000000	2	2	2	NCBI RefSeq	GCF_030704325.1-RS_2025_08_09	2025-08-09	3764	3597	95	na
GCF_030718975.1	PRJNA224116	SAMN25755500	na	na	470	470	Acinetobacter baumannii	strain=2022CK-00066	na	latest	Complete Genome	Major	Full	2023-08-14	ASM3071897v1	Utah Public Health Laboratory Infectious Disease submission group	GCA_030718975.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/718/975/GCF_030718975.1_ASM3071897v1/	na	na	na	haploid	bacteria	4100367	4100367	39.000000	2	2	2	NCBI RefSeq	GCF_030718975.1-RS_2025_08_13	2025-08-13	3990	3813	95	na
GCF_032634445.1	PRJNA224116	SAMN37709326	na	na	470	470	Acinetobacter baumannii	strain=2023CK-01274	na	latest	Complete Genome	Major	Full	2024-11-02	ASM3263444v3	Utah Public Health Laboratory Infectious Disease submission group	GCA_032634445.3	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/032/634/445/GCF_032634445.1_ASM3263444v3/	na	na	na	haploid	bacteria	4192381	4192381	39.000000	4	4	4	NCBI RefSeq	GCF_032634445.1-RS_2024_12_02	2024-12-02	4096	3902	94	na
GCF_032822615.1	PRJNA224116	SAMN33787963	na	na	470	470	Acinetobacter baumannii	strain=SAAb472	na	latest	Complete Genome	Major	Full	2023-10-18	ASM3282261v1	University of Technology Sydney	GCA_032822615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/032/822/615/GCF_032822615.1_ASM3282261v1/	na	na	na	haploid	bacteria	3809697	3809697	39.000000	1	1	1	NCBI RefSeq	GCF_032822615.1-RS_2026_02_09	2026-02-09	3554	3409	95	na
GCF_033181005.1	PRJNA224116	SAMN36429575	na	na	470	470	Acinetobacter baumannii	strain=SNUBHAB0291	na	latest	Complete Genome	Major	Full	2023-11-01	ASM3318100v1	Seoul National University	GCA_033181005.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/181/005/GCF_033181005.1_ASM3318100v1/	na	na	na	haploid	bacteria	4047425	4047425	39.000000	2	2	2	NCBI RefSeq	GCF_033181005.1-RS_2026_01_23	2026-01-23	3895	3716	95	na
GCF_033181805.1	PRJNA224116	SAMN36429572	na	na	470	470	Acinetobacter baumannii	strain=SNUBHAB0277	na	latest	Complete Genome	Major	Full	2023-11-01	ASM3318180v1	Seoul National University	GCA_033181805.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/181/805/GCF_033181805.1_ASM3318180v1/	na	na	na	haploid	bacteria	4015100	4015100	39.000000	3	3	3	NCBI RefSeq	GCF_033181805.1-RS_2026_01_23	2026-01-23	3872	3704	95	na
GCF_033187155.1	PRJNA224116	SAMN37654786	na	na	470	470	Acinetobacter baumannii	strain=ABO21-A064	na	latest	Complete Genome	Major	Full	2023-11-01	ASM3318715v1	RESPOND-AbOne	GCA_033187155.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/187/155/GCF_033187155.1_ASM3318715v1/	na	na	na	haploid	bacteria	3877839	3877839	39.000000	1	1	1	NCBI RefSeq	GCF_033187155.1-RS_2026_01_23	2026-01-23	3674	3510	94	na
GCF_033187975.1	PRJNA224116	SAMN37654785	na	na	470	470	Acinetobacter baumannii	strain=ABO21-A063	na	latest	Complete Genome	Major	Full	2023-11-01	ASM3318797v1	RESPOND-AbOne	GCA_033187975.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/187/975/GCF_033187975.1_ASM3318797v1/	na	na	na	haploid	bacteria	3842192	3842192	39.000000	1	1	1	NCBI RefSeq	GCF_033187975.1-RS_2026_01_23	2026-01-23	3640	3484	94	na
GCF_033188675.1	PRJNA224116	SAMN37654784	na	na	470	470	Acinetobacter baumannii	strain=ABO21-A061	na	latest	Complete Genome	Major	Full	2023-11-01	ASM3318867v1	RESPOND-AbOne	GCA_033188675.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/188/675/GCF_033188675.1_ASM3318867v1/	na	na	na	haploid	bacteria	3850979	3850979	39.000000	1	1	1	NCBI RefSeq	GCF_033188675.1-RS_2026_01_23	2026-01-23	3649	3490	94	na
GCF_033189435.1	PRJNA224116	SAMN37654783	na	na	470	470	Acinetobacter baumannii	strain=ABO21-A059	na	latest	Complete Genome	Major	Full	2023-11-01	ASM3318943v1	RESPOND-AbOne	GCA_033189435.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/189/435/GCF_033189435.1_ASM3318943v1/	na	na	na	haploid	bacteria	3824214	3824214	39.000000	1	1	1	NCBI RefSeq	GCF_033189435.1-RS_2026_01_23	2026-01-23	3618	3466	94	na
GCF_033189955.1	PRJNA224116	SAMN37654782	na	na	470	470	Acinetobacter baumannii	strain=ABO21-A058	na	latest	Complete Genome	Major	Full	2023-11-01	ASM3318995v1	RESPOND-AbOne	GCA_033189955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/189/955/GCF_033189955.1_ASM3318995v1/	na	na	na	haploid	bacteria	3881966	3881966	39.000000	2	2	2	NCBI RefSeq	GCF_033189955.1-RS_2026_01_23	2026-01-23	3747	3584	96	na
GCF_033189995.1	PRJNA224116	SAMN37654781	na	na	470	470	Acinetobacter baumannii	strain=ABO21-A057	na	latest	Complete Genome	Major	Full	2023-11-01	ASM3318999v1	RESPOND-AbOne	GCA_033189995.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/189/995/GCF_033189995.1_ASM3318999v1/	na	na	na	haploid	bacteria	3842503	3842503	39.000000	1	1	1	NCBI RefSeq	GCF_033189995.1-RS_2026_01_23	2026-01-23	3635	3479	94	na
GCF_033190015.1	PRJNA224116	SAMN37654780	na	na	470	470	Acinetobacter baumannii	strain=ABO21-A051	na	latest	Complete Genome	Major	Full	2023-11-01	ASM3319001v1	RESPOND-AbOne	GCA_033190015.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/190/015/GCF_033190015.1_ASM3319001v1/	na	na	na	haploid	bacteria	3945407	3945407	39.000000	1	1	1	NCBI RefSeq	GCF_033190015.1-RS_2026_01_23	2026-01-23	3674	3533	95	na
GCF_033190095.1	PRJNA224116	SAMN37654778	na	na	470	470	Acinetobacter baumannii	strain=ABO21-A045	na	latest	Complete Genome	Major	Full	2023-11-01	ASM3319009v1	RESPOND-AbOne	GCA_033190095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/190/095/GCF_033190095.1_ASM3319009v1/	na	na	na	haploid	bacteria	3962234	3962234	38.500000	1	1	1	NCBI RefSeq	GCF_033190095.1-RS_2026_01_23	2026-01-23	3743	3565	95	na
GCF_033190675.1	PRJNA224116	SAMN37654777	na	na	470	470	Acinetobacter baumannii	strain=ABO21-A022	na	latest	Complete Genome	Major	Full	2023-11-01	ASM3319067v1	RESPOND-AbOne	GCA_033190675.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/190/675/GCF_033190675.1_ASM3319067v1/	na	na	na	haploid	bacteria	3841316	3841316	39.000000	1	1	1	NCBI RefSeq	GCF_033190675.1-RS_2026_01_23	2026-01-23	3638	3481	94	na
GCF_033190815.1	PRJNA224116	SAMN37654776	na	na	470	470	Acinetobacter baumannii	strain=ABO21-A020	na	latest	Complete Genome	Major	Full	2023-11-01	ASM3319081v1	RESPOND-AbOne	GCA_033190815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/190/815/GCF_033190815.1_ASM3319081v1/	na	na	na	haploid	bacteria	3840805	3840805	39.000000	1	1	1	NCBI RefSeq	GCF_033190815.1-RS_2026_01_23	2026-01-23	3639	3483	94	na
GCF_033191195.1	PRJNA224116	SAMN37654775	na	na	470	470	Acinetobacter baumannii	strain=ABO21-A003	na	latest	Complete Genome	Major	Full	2023-11-01	ASM3319119v1	RESPOND-AbOne	GCA_033191195.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/191/195/GCF_033191195.1_ASM3319119v1/	na	na	na	haploid	bacteria	3841318	3841318	39.000000	1	1	1	NCBI RefSeq	GCF_033191195.1-RS_2026_01_23	2026-01-23	3635	3479	94	na
GCF_033191435.1	PRJNA224116	SAMN37643086	na	na	470	470	Acinetobacter baumannii	strain=ABO21-A002	na	latest	Complete Genome	Major	Full	2023-11-01	ASM3319143v1	RESPOND-AbOne	GCA_033191435.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/191/435/GCF_033191435.1_ASM3319143v1/	na	na	na	haploid	bacteria	3831295	3831295	39.000000	1	1	1	NCBI RefSeq	GCF_033191435.1-RS_2026_01_23	2026-01-23	3626	3471	94	na
GCF_033192035.1	PRJNA224116	SAMN37643064	na	na	470	470	Acinetobacter baumannii	strain=ABO21-A001	na	latest	Complete Genome	Major	Full	2023-11-01	ASM3319203v1	RESPOND-AbOne	GCA_033192035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/192/035/GCF_033192035.1_ASM3319203v1/	na	na	na	haploid	bacteria	4023899	4023899	39.000000	4	4	4	NCBI RefSeq	GCF_033192035.1-RS_2026_01_23	2026-01-23	3896	3568	97	na
GCF_033378915.2	PRJNA224116	SAMN31178860	na	na	470	470	Acinetobacter baumannii	strain=SCCH68:Ab991128	na	latest	Complete Genome	Major	Full	2024-06-26	ASM3337891v2	N.F.Gamaleya National Research Center for Epidemiology and Microbiology	GCA_033378915.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/378/915/GCF_033378915.2_ASM3337891v2/	na	na	na	haploid	bacteria	4044439	4044439	39.000000	2	2	2	NCBI RefSeq	GCF_033378915.2-RS_2025_06_25	2025-06-25	3926	3759	94	na
GCF_033469325.1	PRJNA224116	SAMN37654779	na	na	470	470	Acinetobacter baumannii	strain=ABO21-A049	na	latest	Complete Genome	Major	Full	2023-11-09	ASM3346932v1	RESPOND-AbOne	GCA_033469325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/469/325/GCF_033469325.1_ASM3346932v1/	na	na	na	haploid	bacteria	3946983	3946983	39.000000	5	5	5	NCBI RefSeq	GCF_033469325.1-RS_2025_12_28	2025-12-28	3740	3599	94	na
GCF_033612615.1	PRJNA224116	SAMN38047912	na	na	470	470	Acinetobacter baumannii	strain=JBAB	na	latest	Complete Genome	Major	Full	2023-11-14	ASM3361261v1	National Institute of Agricultural Science	GCA_033612615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/612/615/GCF_033612615.1_ASM3361261v1/	na	na	na	haploid	bacteria	3689484	3689484	39.000000	2	2	2	NCBI RefSeq	GCF_033612615.1-RS_2026_02_09	2026-02-09	3483	3342	94	na
GCF_034081005.1	PRJNA224116	SAMN38345631	na	na	470	470	Acinetobacter baumannii	strain=HNZZ130D	na	latest	Complete Genome	Major	Full	2023-12-04	ASM3408100v1	Henan Agricultural University	GCA_034081005.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/034/081/005/GCF_034081005.1_ASM3408100v1/	na	na	na	haploid	bacteria	3891609	3891609	39.000000	4	4	4	NCBI RefSeq	GCF_034081005.1-RS_2025_12_29	2025-12-29	3665	3525	96	na
GCF_034083075.1	PRJNA224116	SAMN38345664	na	na	470	470	Acinetobacter baumannii	strain=HNNY86G	na	latest	Complete Genome	Major	Full	2023-12-04	ASM3408307v1	Henan Agricultural University	GCA_034083075.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/034/083/075/GCF_034083075.1_ASM3408307v1/	na	na	na	haploid	bacteria	3932397	3932397	39.000000	2	2	2	NCBI RefSeq	GCF_034083075.1-RS_2025_12_10	2025-12-10	3782	3647	95	na
GCF_034126645.1	PRJNA224116	SAMN38646042	na	na	470	470	Acinetobacter baumannii	strain=2023CK-01487	na	latest	Complete Genome	Major	Full	2024-02-01	ASM3412664v2	Utah Public Health Laboratory Infectious Disease submission group	GCA_034126645.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/034/126/645/GCF_034126645.1_ASM3412664v2/	na	na	na	haploid	bacteria	4120089	4120089	39.000000	2	2	2	NCBI RefSeq	GCF_034126645.1-RS_2026_04_21	2026-04-21	3987	3813	96	na
GCF_034126905.1	PRJNA224116	SAMN38646043	na	na	470	470	Acinetobacter baumannii	strain=2023CK-01486	na	latest	Complete Genome	Major	Full	2024-02-01	ASM3412690v2	Utah Public Health Laboratory Infectious Disease submission group	GCA_034126905.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/034/126/905/GCF_034126905.1_ASM3412690v2/	na	na	na	haploid	bacteria	4038185	4038185	39.000000	2	2	2	NCBI RefSeq	GCF_034126905.1-RS_2026_04_21	2026-04-21	3897	3723	96	na
GCF_034331205.1	PRJNA224116	SAMN38788845	na	na	470	470	Acinetobacter baumannii	strain=2023CK-01512	na	latest	Complete Genome	Major	Full	2024-02-01	ASM3433120v2	Utah Public Health Laboratory Infectious Disease submission group	GCA_034331205.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/034/331/205/GCF_034331205.1_ASM3433120v2/	na	na	na	haploid	bacteria	4238657	4238657	39.000000	5	5	5	NCBI RefSeq	GCF_034331205.1-RS_2025_04_24	2025-04-24	4169	3979	94	na
